Make,Model,Type,Origin,DriveTrain,Length
Acura,MDX,SUV,Asia,All,4451
Acura,RSX Type S 2dr,Sedan,Asia,Front,2778
Acura,TSX 4dr,Sedan,Asia,Front,3230
Acura,TL 4dr,Sedan,Asia,Front,3575
Acura,3.5 RL 4dr,Sedan,Asia,Front,3880
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,3893
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,3153
Audi,A4 1.8T 4dr,Sedan,Europe,Front,3252
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,3638
Audi,A4 3.0 4dr,Sedan,Europe,Front,3462
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,3583
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,3627
Audi,A6 3.0 4dr,Sedan,Europe,Front,3561
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,3880
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,3814
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,4013
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,3836
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,4024
Audi,A8 L Quattro 4dr,Sedan,Europe,All,4399
Audi,S4 Quattro 4dr,Sedan,Europe,All,3825
Audi,RS 6 4dr,Sports,Europe,Front,4024
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,3131
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,2921
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,3351
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,4035
Audi,S4 Avant Quattro,Wagon,Europe,All,3936
BMW,X3 3.0i,SUV,Europe,All,4023
BMW,X5 4.4i,SUV,Europe,All,4824
BMW,325i 4dr,Sedan,Europe,Rear,3219
BMW,325Ci 2dr,Sedan,Europe,Rear,3197
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,3560
